text,Gender equality - general,Equal pay,Increased awareness,Advocacy and Activism,Policy Changes,Media Coverage,Changing attitudes /societal,Representation and role models,Legal Frameworks,Gender inclusivity in traditionally masculine sports,Access to resources and education,Race related themes,Transgender related themes,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive brands,ResponseId
There are clear criteria for participation in sports,,,,,,,,,,1,,,,,Poland,Man,Gymnastics,55-65,Rugby,155120833
Too much money,,,,,,,,,,,,,,1,France,Man,Football,55-65,Golf,155120837
"Open to everyone, even people with disabilities",,,,,,,,,,,,,,1,France,Man,Unstated,55-65,,155120859
because women’s sport is now part of the whole,,,,,,,,,,1,,,,,Germany,Woman,Unstated,55-65,,155120865
May be mixed,,,,,,,,,,,,,,1,France,Man,Golf,45-54,Gymnastics,155120867
The evolution of mentalities,,,,,,,1,,,,,,,,France,Man,Gymnastics,55-65,Rugby,155120869
More sports for women,,,,,,,,,,1,,,,,Germany,Woman,Athletics,25-34,Football,155120886
"Because the pay of women in football, for example, has improved a lot",,1,,,,,,,,1,,,,,Germany,Man,Golf,55-65,Gymnastics,155120887
Because there are more women's sports.,,,,,,,,,,1,,,,,France,Man,Cycling,55-65,Basketball,155120911
Time progress,,,,,,,,,,,,,,1,Poland,Man,Cycling,35-44,Golf,155120928
Everyone is free to play sports,,,,,,,,,,1,,,,,France,Man,Athletics,55-65,Handball,155120967
"There are several reasons why the professional sports sector has become more gender inclusive at present: 1. Awareness and Awareness: There has been a greater awareness of gender inequalities in the sport and the need to combat discrimination and promote equal opportunities for all athletes, regardless of gender. 2. Social pressure and activism: Social movements, awareness-raising activities and activism have helped to highlight gender issues in sport and push sports organizations to take action to promote inclusion and equality. 3. Policies and initiatives: Many sports organizations, federations and professional leagues have implemented policies and initiatives aimed at promoting gender equality, such as fair access to opportunities, equal remuneration, balanced representation in decision-making bodies, etc. 4. Visibility and role models: The increased visibility of female athletes and gender diverse people in professional sports has helped break down gender stereotypes and inspire others to pursue their sporting dreams, regardless of gender. While there are still challenges ahead and progress to be made, it is encouraging to see that the professional sports sector is moving towards more gender inclusiveness, providing equitable opportunities and diverse representation for all. athletes.",1,,1,1,1,,,1,,1,,,,,France,Man,Football,45-54,Golf,155121000
"A part of the public expects this, especially because the topic is being discussed openly and in the media. It is good for the image of professional sport (for the officials)",,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,45-54,Football,155121003
We see more and more different people of all genders,,,,,,1,,,,1,,,,,France,Woman,Athletics,45-54,Basketball,155121013
because there are more women in team sports,,,,,,,,,,1,,,,,Poland,Woman,Cycling,25-34,Football,155121045
"This is forced by increasing inclusivity in life outside sports, which obviously also affects sports.",,,,,,,,,,1,,,,,Poland,Man,Volleyball,55-65,Golf,155121046
Protests by non-governmental organizations supporting inclusivity,,,,1,,,,,,,,,,,Poland,Man,Gymnastics,55-65,Golf,155121060
It is assumed by society,,,,,,,1,,,,,,,,Germany,Woman,Tennis,25-34,Rugby,155121062
fewer differences,,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Rugby,155121066
Because there are several female leadership positions,,,,,,,,,,,,,,1,Germany,Man,Athletics,35-44,Rugby,155121071
A little,,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Football,155121105
Mentality we evolve,,,,,,,1,,,,,,,,France,Man,Rugby,45-54,Cycling,155121113
More attention to women's sports on television,,,,,,,,,,1,,,,,Sweden,Man,Golf,35-44,Volleyball,155121115
Because he is better known,,,,,,,,,,,,,,1,France,Man,Football,35-44,Golf,155121145
Equality is spreading.,,,,,,,,,,,,,,1,Sweden,Man,Tennis,45-54,Rugby,155121152
He pays women better,,1,,,,,,,,,,,,,France,Man,Football,55-65,Basketball,155121154
There is more media coverage,,,1,,,1,,,,,,,,,France,Man,Gymnastics,55-65,Rugby,155121164
Women's sport is followed more by the media,,,,,,1,,,,1,,,,,France,Man,Athletics,45-54,Cycling,155121167
This is an interesting phenomenon based on diffusion,,,,,,,,,,,,,,1,Poland,Man,Rugby,35-44,Golf,155121185
Less restrictions,,,,,,,,,,,,,,1,Poland,Man,Basketball,45-54,Rugby,155121194
Euro girl craze,,,,,,,,,,,,,,1,France,Man,Rugby,55-65,Golf,155121197
Times are moving in the right direction,,,,,,,1,,,,,,,,Poland,Man,Gymnastics,25-34,Rugby,155121203
The mediatization,,,,,,1,,,,,,,,,France,Man,Tennis,55-65,Rugby,155121215
progress,,,,,,,,,,,,,,1,France,Man,Athletics,55-65,Rugby,155121227
There has been enough criticism about this,,,,,,,,,,,,,,1,Germany,Man,Unstated,55-65,,155121330
There has been progress in that,,,,,,,,,,,,,,1,Sweden,Man,Tennis,25-34,Rugby,155121544
Is it,,,,,,,,,,,,,,1,Sweden,Man,Volleyball,35-44,Rugby,155121675
Tennis same payment,,1,,,,,,,,,,,,,Sweden,Man,Tennis,25-34,Golf,155122149
Women's sports are becoming more popular now,,,,,,,,,,1,,,,,Sweden,Woman,Volleyball,35-44,Rugby,155122199
"In the past, some people have reacted negatively to certain genders playing sports, but when they have succeeded, these people have changed their minds and accept that everyone has the right to compete regardless of gender",,,,,,,,,,1,,,,,Sweden,Man,Football,55-65,Athletics,155122209
Leadership positions are increasingly being filled by women.,,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Football,155122338
Women are taken more seriously,,,,,,,,,,,,,,1,Germany,Man,Cycling,55-65,Rugby,155122606
The voices and criticism are getting louder,,,,,,,,,,,,,,1,Germany,Woman,Handball,45-54,Football,155123145
"For example, there is talk about equal pay in professional football.",,1,,,,,,,,1,,,,,Germany,Man,Football,35-44,Gymnastics,155123727
I think there has been a slight adjustment,,,,,,,1,,,,,,,,Germany,Man,Athletics,55-65,Rugby,155124015
everything evolves over time,,,,,,,,,,,,,,1,France,Man,Athletics,55-65,Rugby,155129510
because we see a lot more women there,,,,,,,,,,,,,,1,France,Woman,Gymnastics,45-54,Golf,155129537
things have been put in place to progress,,,,,,,,,,,,,,1,France,Woman,Basketball,45-54,Football,155129544
Women are more often represented,,,,,,,,1,,1,,,,,Germany,Woman,Football,18-24,Rugby,155129552
Collective awareness,,,1,,,,,,,,,,,,France,Woman,Tennis,45-54,Golf,155129563
It is clear that more and more men and women are playing it,,,,,,,,,,1,,,,,France,Woman,Tennis,25-34,Rugby,155129578
Is not the same. There is more visibility,,,,,,,,,,,,,,1,Spain,Woman,Tennis,25-34,Handball,155129587
Many women practice sports that have long been reserved for men.,,,,,,,,,,1,,,,,France,Woman,Cycling,55-65,Golf,155129588
There are more sports accessible to women,,,,,,,,,,1,,,,,France,Woman,Unstated,45-54,,155129591
Before there was almost nothing,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,25-34,Rugby,155129594
More public,,,1,,,,,,,,,,,,Spain,Man,Football,35-44,Rugby,155129599
Equality,,,,,,,,,,,,1,,,Spain,Man,Football,45-54,Rugby,155129600
Mediatically everything is known more quickly,,,1,,,,,,,,,,,,Spain,Woman,Athletics,45-54,Rugby,155129611
Thanks to the fight for gender equality,1,,,,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Handball,155129614
For equality,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Cycling,155129628
because it is being taken more into account,,,,,,,,,,,,,,1,Spain,Woman,Tennis,25-34,Cycling,155129646
They have been regulated by gender equality laws,1,,,,,,,,,1,,,,,Spain,Woman,Tennis,25-34,Rugby,155129652
For feminism,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Basketball,155129656
"Thank you, we are making progress",,,,,,,,,,,,,,1,Spain,Woman,Athletics,35-44,Football,155129663
Due to government policies,,,,,1,,,,,,,,,,Spain,Man,Gymnastics,55-65,Football,155129673
It seems that more vision is being given to women's sports,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155129679
"Times have changed, for some time social sectors have created laws",,,,,,,,,1,,,,,,Spain,Woman,Football,25-34,Rugby,155129680
Women athletes are beginning to be recognized,,,,,,,,,,1,,,,,Spain,Man,Tennis,45-54,Rugby,155129682
For the results,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155129683
Because it is what the time we live dictates,,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Football,155129684
Because it progresses more,,,,,,,,,,,,,,1,Spain,Man,Athletics,25-34,Basketball,155129685
Because the sports have fought them,,,,,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Cycling,155129687
In general there is more talk about it,,,,,,,,,,,,,,1,Spain,Woman,Athletics,55-65,Rugby,155129690
They collaborate more,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Golf,155129693
Women are seen in sports that used to be male,,,,,,,,,,1,,,,,Spain,Woman,Unstated,45-54,,155129695
there are more men and women,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Rugby,155129700
"Because now women are included in almost everything, due to the equality that has been seen in recent years.",,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Golf,155129704
Women's professional sports are being promoted,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,45-54,Golf,155129708
"Sport is now more generalized towards women, today there are more female athletes",,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,25-34,Rugby,155129712
Because,,,,,,,,,,,,,,1,Germany,Woman,Football,18-24,Volleyball,155129713
because society is advancing in this sense.,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155129718
They begin to charge more and the media begin to be interested and broadcast events,,,,,,1,,,,,,,,,Spain,Man,Tennis,55-65,Rugby,155129720
because the conditions of men are being equalized with those of women,,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Golf,155129724
There are many women's sports federations,,,,,,,,,,1,,,,,Spain,Woman,Tennis,45-54,Rugby,155129732
There is much more media attention,,,1,,,1,,,,,,,,,Spain,Man,Football,35-44,Rugby,155129736
Because life changes and we have to update ourselves,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,25-34,Rugby,155129739
"Well, because like everything in society, it is advancing.",,,,,,,1,,,,,,,,Spain,Woman,Tennis,45-54,Rugby,155129742
Interest and publicity,,,1,1,,1,,,,,,,,,Spain,Woman,Gymnastics,25-34,Football,155129756
Women see themselves more integrated,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155129759
Because you can see female players or athletes in Olympics and other styles of sports.,,,,,,,,,,1,,,,,Spain,Woman,Football,25-34,Rugby,155129764
women practice disciplines that were once unthinkable...,,,,,,,,,,1,,,,,Poland,Man,Tennis,35-44,Football,155129770
Because I've seen a lot of gender inclusion people than before.,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,55-65,Golf,155129771
Women are starting their careers in sports previously reserved for men,,,,,,,,,,1,,,,,Poland,Woman,Athletics,55-65,Rugby,155129773
Thanks to feminism,,,,,,,,,,,,,,1,Spain,Man,Unstated,35-44,,155129777
The times force,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Golf,155129779
It is evolving,,,,,,,1,,,,,,,,Spain,Man,Tennis,35-44,Rugby,155129780
Because it is more equal,1,,,,,,,,,,,,,,Spain,Man,Basketball,35-44,Gymnastics,155129793
Because society is becoming aware of it,,,1,,,,1,,,,,,,,Spain,Man,Athletics,35-44,Rugby,155129796
there is more and more equality,1,,,,,,,,,,,,,,Poland,Woman,Handball,35-44,Rugby,155129799
To have more balance,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Golf,155129801
We are becoming more and more tolerant and we try to treat men and women equally every day,,,,,,,,,,,,,,1,Poland,Woman,Volleyball,25-34,Rugby,155129815
Women have been incorporated into many disciplines and they do it very well,,,,,,,,,,1,,,,,Spain,Man,Football,55-65,Rugby,155129817
More accepted,,,1,,,,1,,,,,,,,Sweden,Woman,Athletics,55-65,Cycling,155129820
More women are present,,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,45-54,Rugby,155129827
Yes,,,,,,,,,,,,,,1,Poland,Woman,Athletics,25-34,Volleyball,155129828
better paid,,,,,,,,,,,,,,1,France,Man,Tennis,45-54,Rugby,155129839
"Because there are more women's teams, sports and competitions.",,,,,,,,,,1,,,,,Spain,Man,Cycling,55-65,Volleyball,155129843
Because of public opinion pressure,,,,,,,,,,,,,,1,Poland,Woman,Golf,25-34,Football,155129847
"More comparable earnings, opportunities to take part in competitions",,,,,,,,,,,1,,,,Poland,Woman,Tennis,25-34,Rugby,155129849
"Newer times, no stereotypes",,,,,,,,,,,,,,1,Poland,Man,Tennis,25-34,Basketball,155129852
There is more and more talk about women's sports,,,,,,,,,,1,,,,,Poland,Woman,Handball,18-24,Gymnastics,155129860
"Men who identify as women compete with women, for example in swimming",,,,,,,,,,1,,,,,Poland,Woman,Cycling,55-65,Rugby,155129862
More sports include women,,,,,,,,,,1,,,,,Poland,Woman,Gymnastics,18-24,Rugby,155129864
Because there are more and more disciplines where men and women compete,,,,,,,,,,1,,,,,Poland,Man,Basketball,55-65,Football,155129870
Mentality change,,,,,,,1,,,,,,,,Spain,Man,Handball,45-54,Football,155129874
"because a lot of people watch the spot, and more and more women practice sports such as football and it simply reaches more people",,,,,,1,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155129894
from my own observations,,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Golf,155129904
"Gender equality is being talked about more and more, and I'm noticing more opportunities for all genders, not just one",1,,,,,,,,,1,,,,,Poland,Woman,Gymnastics,18-24,Rugby,155129906
More demands to be gender inclusive now compared to before,,,,,,,,,,1,,,,,Sweden,Woman,Athletics,18-24,Football,155129909
Women's sports are promoted more,,,,,,,,,,1,,,,,Spain,Man,Tennis,25-34,Golf,155129911
The pensamieotis have advanced,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Golf,155129919
I think there is a growing awareness that the female role and voice are also important,,,1,,,,,,,1,,,,,Poland,Woman,Tennis,25-34,Rugby,155129921
"The topic of equality and equality is more often implemented in sports, too",,,,,,,,,,1,,1,,,Poland,Woman,Tennis,35-44,Rugby,155129926
There are more and more women's professional leagues. Although there is a long way to go,,,,,,,,,,1,,,,,Spain,Man,Gymnastics,45-54,Rugby,155129964
More importance to women's sports,,,,,,,,,,1,,,,,Spain,Man,Football,35-44,Rugby,155129966
"In recent years, women's sports and their recognition have been promoted, which has allowed many women's sports to be brought closer to society and made more visible.",,,,,,,1,,,1,,,,,Spain,Man,Athletics,45-54,Rugby,155129994
Society is changing,,,,,,,1,,,,,,,,Spain,Man,Athletics,45-54,Rugby,155130000
There is greater attention to the female gender,,,1,,,,,,,1,,,,,Spain,Man,Athletics,45-54,Rugby,155130001
Because it gives votes,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155130004
Society development,,,,,,,1,,,,,,,,Spain,Man,Tennis,35-44,Football,155130013
"Commitment of society, rethinking in changing times",,,,,,,1,,,,,,,,Germany,Woman,Gymnastics,25-34,Football,155130020
There are more women in all sports,,,,,,,,,,1,,,,,Spain,Man,Gymnastics,55-65,Rugby,155130029
We must understand each sport and be agile,,,,,,,,,,1,,,,,France,Man,Gymnastics,55-65,Football,155130042
The issues are raised and discussed,,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Football,155130050
It has become fashionable,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Rugby,155130053
Mixture,,,,,,,,,,,,,,1,France,Man,Rugby,45-54,Basketball,155130072
There is more awareness about equal awards,,,1,,,,,,,,,,,,Spain,Man,Tennis,55-65,Football,155130076
You can see the difference from the present time and old times that gender inclusiveness is more visible in most sports.,,,,,,,,,,1,,,,,Sweden,Man,Tennis,25-34,Rugby,155130077
Evolution of morals,,,,,,,1,,,,,,,,France,Man,Athletics,45-54,Golf,155130082
because there is much more talk about it,,,,,,,,,,,,,,1,Germany,Man,Volleyball,35-44,Football,155130121
More sports and rules favoring this,,,,,,,,,,1,,,,,Poland,Man,Athletics,18-24,Rugby,155130123
The women are seen more,,,,,,,,,,,,,,1,Sweden,Woman,Athletics,45-54,Rugby,155130138
More space for women's sports,,,,,,,,,,1,,,,,Sweden,Woman,Unstated,55-65,,155130139
Do not know,,,,,,,,,,,,,,1,Sweden,Man,Handball,25-34,Rugby,155130147
Growing publicity for women's sport,,,,,,1,,,,1,,,,,France,Man,Golf,55-65,Football,155130150
Talk about gender equality,1,,,,,,,,,1,,,,,Sweden,Woman,Cycling,45-54,Rugby,155130154
Changed times.,,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Rugby,155130159
The gymnastics,,,,,,,,,,,,,,1,Sweden,Woman,Unstated,25-34,,155130171
"I see a big difference in, for example, football",,,,,,,,,,,,,,1,Sweden,Woman,Golf,55-65,Gymnastics,155130179
more and more women practice sports disciplines intended for men,,,,,,,,,,1,,,,,Poland,Man,Tennis,45-54,Rugby,155130180
There are more women's sports....,,,,,,,,,,1,,,,,France,Man,Football,45-54,Gymnastics,155130227
"For example, football that has received recognition for women",,,,,,,,,,1,,,,,Sweden,Man,Gymnastics,25-34,Rugby,155130235
women's sport is becoming more and more popular and the interest of authorities and sponsors is growing,,,,,,,,,,1,,,,,Poland,Man,Athletics,55-65,Football,155130241
There are many categories,,,,,,,,,,,,,,1,Poland,Man,Handball,25-34,Basketball,155130250
Women's participation is more recognized and given more attention,,,1,,,,,,,1,,,,,Sweden,Woman,Football,18-24,Basketball,155130261
Best respect,,,,,,,,,,,,,,1,France,Man,Gymnastics,35-44,Football,155130273
My impression,,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,35-44,Volleyball,155130285
"First of all, we have social media, the Internet and outreach",,,,,,,,,,,,,,1,Poland,Man,Tennis,18-24,Cycling,155130307
Society at large means that more people practice sports regardless of gender,,,,,,,1,,,1,,,,,Sweden,Woman,Athletics,35-44,Gymnastics,155130322
Salary revaluation,,1,,,,,,,,,,,,,France,Man,Tennis,45-54,Rugby,155130349
"women are better and better paid, much more visible in the media",,,,,,,,,,,,,,1,France,Man,Rugby,35-44,Golf,155130366
Broadcasting more and more women's sports,,,,,,1,,,,1,,,,,France,Man,Tennis,25-34,Cycling,155130374
There is more talk about it,,,,,,1,,,,,,,,,Sweden,Woman,Gymnastics,55-65,Rugby,155130379
Because it’s very interesting,,,,,,,,,,,,,,1,France,Man,Cycling,25-34,Golf,155130400
I,,,,,,,,,,,,,,1,France,Man,Volleyball,25-34,Tennis,155130410
Shorts were made longer,,,,,,,,,,,,,,1,Germany,Woman,Cycling,18-24,Rugby,155130412
There have been many campaigns to improve,,,,1,,,,,,,,,,,Germany,Woman,Tennis,35-44,Rugby,155130415
"Because women like men, whatever their origins or religious affiliation or even their race, are increasingly entitled to the same privileges.",,,,,,,,,,,,1,,,France,Man,Gymnastics,35-44,Golf,155130463
Evolution,,,,,,,,,,,,,,1,France,Woman,Handball,35-44,Golf,155130508
Evolution of mentalities,,,,,,,1,,,,,,,,France,Man,Tennis,45-54,Football,155130522
We talk more about women's sport,,,,,,,,,,1,,,,,France,Man,Handball,35-44,Rugby,155130545
It's slow as hell,,,,,,,,,,,,,,1,Sweden,I prefer not to say,Unstated,35-44,,155130554
Media,,,,,,1,,,,,,,,,France,Man,Football,25-34,Rugby,155130565
More visibility of women's sport,,,1,,,,,,,1,,,,,France,Man,Golf,45-54,Gymnastics,155130569
Because the topic has great presence,,,,,,,,,,,,,,1,Germany,Woman,Tennis,55-65,Rugby,155130629
Because it is important in Sweden now,,,,,,,,,,,,,,1,Sweden,Man,Volleyball,45-54,Handball,155130676
It probably is,,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Gymnastics,155130703
People pay more attention to women's sports teams,,1,,,,,,,,1,,,,,Sweden,Man,Handball,35-44,Rugby,155130733
More rights apply,,,,1,,,,,,,,,,,Sweden,Man,Football,25-34,Cycling,155130977
Do not know,,,,,,,,,,,,,,1,Sweden,Man,Athletics,18-24,Cycling,155131039
As old traditions and rules no longer apply,,,,,,,1,,,,,,,,Sweden,Man,Handball,18-24,Athletics,155131043
women are becoming more,,,,,,,,,,,,,,1,Germany,Man,Gymnastics,55-65,Football,155131051
good,,,,,,,,,,,,,,1,Germany,Man,Rugby,25-34,Volleyball,155131230
Because it is important that it includes in order to move forward,,,,,,,,,,,,,,1,Sweden,Man,Athletics,18-24,Rugby,155131387
all for more power,,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Rugby,155131768
There are women from Sweden who are professional boxers.,,,,,,,,,,,,,,1,Sweden,Man,Unstated,55-65,,155131840
Because women’s professional sport is more in focus,,,,,,,,,,1,,,,,Germany,Man,Tennis,25-34,Rugby,155131944
Because there are now certain sports where genders are allowed to participate,,,,,,,,,,1,,,,,Germany,Man,Unstated,18-24,,155132052
Happened very positively,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,35-44,Rugby,155133170
Women’s sport is becoming more of a focus of broadcasts,,,,,,1,,,,1,,,,,Germany,Man,Athletics,25-34,Rugby,155133412
More women in male-dominated fields,,,,,,,,,,1,,,,,Germany,Woman,Football,45-54,Gymnastics,155133438
Because more women have campaigned for it,,,,1,,,,,,,,,,,Germany,Man,Football,18-24,Basketball,155133638
because more and more women's sports are broadcast during prime time,,,,,,1,,,,1,,,,,Germany,Man,Cycling,55-65,Rugby,155134210
Because there is a push for more inclusion and many people are committed to it,,,,,,,,,,,,,,1,Germany,Man,Athletics,18-24,Cycling,155134425
Riding because riding is equally strenuous,,,,,,,,,,,,,,1,Germany,Man,Football,25-34,Rugby,155134543
Women’s sport has gained acceptance,,,,,,,,,,1,,,,,Germany,Man,Athletics,45-54,Gymnastics,155134603
The awareness is more now,,,1,,,,1,,,,,,,,UK,Man,Football,35-44,Golf,155183272
Cause I enjoy it,,,,,,,,,,,,,,1,UK,Woman,Volleyball,25-34,Tennis,155183442
It's intriguing to all,,,,,,,,,,,,,,1,UK,Woman,Football,25-34,Cycling,155183513
There are womens teams now in sports where there was recently none,,,,,,,,,,1,,,,,UK,Woman,Handball,35-44,Football,155183537
It's all inclusive,,,,,,,,,,,,,,1,UK,Woman,Football,25-34,Golf,155183577
for economic reasons,,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Rugby,155183692
Women's soccer championships began to be televised.,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155183731
It is being seen in Chinese women's football that every year we are getting better in Spain and in other Western countries and so with many other sports.,,,,,,,,,,1,,1,,,Spain,Man,Gymnastics,45-54,Rugby,155183760
There is more awareness about this issue,,,1,1,,1,1,,,,,,,,Spain,Man,Athletics,45-54,Gymnastics,155183765
Because more and more work is being done to make it that way,,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Rugby,155183800
The Handball,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Golf,155183838
There is an attempt to ensure that there are equal numbers of men and women,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,45-54,Basketball,155183844
increasingly,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155183853
Many sports are not open to all genres.,,,,,,,,,,1,,,,,Spain,Woman,Cycling,35-44,Handball,155183865
More and more women can practice the sport they like,,,,,,,,,,1,,,,,Spain,Woman,Tennis,35-44,Rugby,155183868
"Because the possibility is being given for women to access sports that they did not access before or if they did, they did not have visibility.",,,,,,,,,,1,,,,,Spain,Man,Gymnastics,45-54,Rugby,155183879
There is more equality between men and women,1,,,,,,,,,1,,,,,Spain,Man,Football,55-65,Gymnastics,155183885
Why do women complain more?,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Golf,155183889
"BECAUSE THEY HAVE WORKED ON IT, GIVING MORE VISIBILITY, THE WOMEN'S TEAM WON THE WORLD CUP EVERY HELP",,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Golf,155183890
Good,,,,,,,,,,,,,,1,UK,Man,Basketball,25-34,Golf,155183916
More women included,,,,,,,,,,1,,,,,UK,Woman,Tennis,35-44,Golf,155183949
More including of all gender and LGBTQ,,,,,,,,,,1,,,1,,UK,Woman,Gymnastics,18-24,Golf,155183957
Because there is more interest in female sports,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,35-44,Rugby,155183965
There are mixed events in some prosports,,,,,,,,,,1,,,,,UK,Man,Athletics,35-44,Handball,155183970
More oppurtuinty,,,1,,,,,,,,1,,,,UK,Woman,Tennis,18-24,Golf,155183981
Find more women participating,,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,45-54,Cycling,155183986
They’re making progress to show more women,,,,,,,,,,,,,,1,UK,Woman,Cycling,18-24,Rugby,155184001
Media pressure,,,1,,,1,,,,,,,,,Germany,Man,Athletics,25-34,Tennis,155184019
It has to be,,,,,,,,,,,,,,1,UK,Woman,Gymnastics,25-34,Basketball,155184028
People are more acceptable to both sees in sports,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,55-65,Handball,155184034
Because there have been protests etc,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,18-24,Rugby,155184060
More wokeness,,,1,,,,1,,,,,,,,UK,Woman,Cycling,25-34,Golf,155184089
It's just a feeling I get,,,,,,,,,,,,,,1,Sweden,Man,Athletics,35-44,Rugby,155184092
Because we are becoming fairer,,,,,,,1,,,,,,,,UK,Woman,Football,45-54,Cycling,155184096
Awareness of the skewed distributions has increased,,,1,,,,,,,,,,,,Sweden,Man,Athletics,45-54,Rugby,155184097
"Everyone gets to say their opinion regardless of whether they are men or women, everyone has the same right to say their opinion",,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,55-65,Football,155184123
Women can now also practice many sports.,,,,,,,,,,1,,,,,Germany,Woman,Football,35-44,Gymnastics,155184161
Because it has improved greatly in recent years,,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Rugby,155184167
Advertising,,,,1,,1,,,,,,,,,Germany,Man,Athletics,55-65,Rugby,155184181
Have seen it,,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,35-44,Tennis,155184272
Everyone can have many skills,,,,,,,,,,,,,,1,Germany,Man,Volleyball,18-24,Gymnastics,155184325
Because it is globally known,,,,,,,,,,,,,,1,UK,Man,Football,25-34,Rugby,155184352
like it with gender equality,1,,,,,,,,,1,,,,,UK,Man,Cycling,25-34,Golf,155184374
Yes,,,,,,,,,,,,,,1,UK,Man,Unstated,35-44,,155184375
More active debate,,,,1,,,,,,,,,,,Sweden,Man,Football,45-54,Rugby,155184421
It has gotten better but is not great,,,,,,,,,,,,,,1,Sweden,Man,Golf,35-44,Cycling,155184475
See more of both genders in sport.,,,,,,,,,,1,,,,,UK,Man,Tennis,35-44,Handball,155184479
Because there are men and women,,,,,,,,,,,,,,1,Germany,Man,Volleyball,45-54,Handball,155184538
The rules,,,,,,,,,,,,,,1,Sweden,Man,Basketball,35-44,Football,155184729
it's so,,,,,,,,,,,,,,1,Germany,Woman,Unstated,55-65,,155184806
"Likewise, Spiekr:innen are presented",,,,,,,,,,,,,,1,Germany,Man,Football,55-65,Golf,155184807
Because more and more people are standing by your orientation,,,,,,,,,,,,,,1,Germany,Woman,Athletics,45-54,Football,155184877
Both sexes lift almost equally,,,,,,,,,,,,,,1,Sweden,Man,Football,25-34,Golf,155184884
"On television, there is often talk about more well-known professional athletes",,,,,,1,,,,,,,,,Germany,Woman,Unstated,18-24,,155184914
Women's football is now televised,,,,,,,,,,1,,,,,UK,Man,Football,55-65,Basketball,155185096
Society changes and so does its values.,,,,,,,1,,,,,,,,UK,Man,Golf,55-65,Rugby,155185218
It feels like a lot has already happened in this area,,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,55-65,Football,155185219
Because I find that there has been an evolution,,,,,,,1,,,,,,,,France,Woman,Tennis,35-44,Rugby,155212818
we see it very clearly,,,,,,,,,,,,,,1,France,Woman,Tennis,55-65,Volleyball,155212919
Women's sports are a little more present on TV,,,,,,1,,,,1,,,,,France,Woman,Volleyball,55-65,Rugby,155212948
