text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Maybe it's because I've been seeing women playing tennis professionally forever.,1,,,,,,,,,,,,,Spain,Woman,Tennis,35-44,Rugby,155183868
"It has always been a sport in which there was no distinction and people have been included, according to their abilities, their worth, regardless of whether it was January, it was male or female.",,,,,,,,,,1,,,,Spain,Man,Gymnastics,35-44,Golf,155183872
Because there have always been gymnasts of both genders with specific tests for one or the other but due to their physical characteristics.,1,,1,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155183879
Because I see many men and women participating,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Golf,155183889
BECAUSE IT IS A SPORT THAT WOMEN HAVE ALWAYS PRACTICED,1,,,,,,,,,1,,,,Spain,Woman,Gymnastics,35-44,Golf,155183890
Good,,,,,,,,,,,,,1,UK,Man,Basketball,25-34,Golf,155183916
Offers same to both and men,,,,,,1,,,,,,,,UK,Woman,Volleyball,25-34,Football,155183948
Women earn good money,,,,1,,,,,,,,,,UK,Woman,Tennis,35-44,Golf,155183949
More women involved,,,,,,,,,1,1,,,,UK,Woman,Gymnastics,18-24,Golf,155183957
I see a lot of female gymnastics,1,,,,,,,,,,,,,UK,Woman,Gymnastics,35-44,Rugby,155183965
Both genders participation is very high,,,,,,1,,,,,,,,UK,Man,Athletics,35-44,Handball,155183970
Lots of women are in that sport,,,,,,,,,1,1,,,,UK,Woman,Tennis,18-24,Golf,155183981
Guess,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,45-54,Cycling,155183986
I see a lot of people doing this,,,,,,,,,,,,,1,UK,Woman,Cycling,18-24,Rugby,155184001
Because the ladies in Sweden have been cruel in football! Better than the gentlemen! So it's a feeling that I like this!,1,,,,,,,,,,,,,Sweden,Woman,Football,35-44,Rugby,155184003
Because it is my opinion,,,,,,,,,,,,,1,Germany,Man,Athletics,25-34,Tennis,155184019
It has always been equal,,,,,,,,1,,,,,,UK,Woman,Gymnastics,25-34,Basketball,155184028
Less talk about women playing football,1,,,,,,,,,,,,,Sweden,Woman,Football,55-65,Athletics,155184041
fair,,,,,,,,,,,,,1,Germany,Woman,Athletics,45-54,Golf,155184053
Feels like more girls are married,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,18-24,Rugby,155184060
Because women and men get the same opportunities,,1,,,,,,,,,,,,UK,Woman,Cycling,25-34,Golf,155184089
Because all genders are handled in the same way and they work actively to include,,,,,,,,1,,,,,,Sweden,Man,Athletics,35-44,Rugby,155184092
Because men and women play,,,,,,,,,,1,,,,UK,Woman,Football,45-54,Cycling,155184096
Because many of both sexes participate on many levels,,,,,,1,,,,,,,,Sweden,Man,Athletics,45-54,Rugby,155184097
Both males and females.,,,,,,1,,,,,,,,UK,Woman,Gymnastics,25-34,Tennis,155184103
It is mixed with men and women practicing the sport,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,55-65,Football,155184123
"Mostly dead serious, lots of bad words and threats",,,,,,,,,,,,,1,Sweden,Woman,Football,25-34,Basketball,155184139
Many people think that football is only for men.,1,,,,,,,,,,,,,Germany,Woman,Football,35-44,Gymnastics,155184161
Because there are mixed tournaments,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Rugby,155184167
Gender neutral.,,,,,,,,,,,,,1,Germany,Man,Athletics,55-65,Rugby,155184181
Got bigger and more respected,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Rugby,155184208
"Not aware, but you read a lot about both male and female players.",,,,,,1,,,,,,,,Sweden,Woman,Tennis,25-34,Rugby,155184254
To different levels of play,,,,,,,,,,,,,1,UK,Man,Football,35-44,Athletics,155184269
Something for everyone,,,,,,,1,,,,,,,Sweden,Woman,Gymnastics,35-44,Tennis,155184272
Is safe,,,,,,,,,,,,,1,Germany,Man,Volleyball,18-24,Gymnastics,155184325
Because it is widely witnessed and both gender leagues are prioritized,,,,,,1,,,,,,,,UK,Man,Football,25-34,Rugby,155184352
"Although not everyone competes against each other, there is an opportunity to do so",,1,,,,,,,,,,,,Sweden,Woman,Athletics,25-34,Rugby,155184368
best to improvise and give opportunity,,1,,,,,,,,,,,,UK,Man,Cycling,25-34,Golf,155184374
There are women's and men's teams,,,,,,,,,,1,,,,Sweden,Man,Football,45-54,Rugby,155184421
Active for a long time,,,,,,,,,,,,,1,Germany,Man,Tennis,45-54,Rugby,155184457
Competitions with both sexes,,,,,,1,,,,,,,,Sweden,Man,Golf,35-44,Cycling,155184475
You can see it on TV,,,,,,,,,,,,1,,Germany,Woman,Athletics,25-34,Golf,155184476
They usually play together,,,,,,,1,,,,,,,UK,Man,Tennis,35-44,Handball,155184479
Is there equality,,,,,,,,1,,,,,,Germany,Man,Tennis,35-44,Rugby,155184484
Suitable for both sexes,,,,,,1,,,,,,,,Germany,Woman,Rugby,25-34,Cycling,155184517
Because there are only women,,,,,,,,,,1,,,,Germany,Man,Volleyball,45-54,Handball,155184538
No idea,,,,,,,,,,,,,1,Germany,Man,Football,25-34,Rugby,155184559
They all play,,,,,,,,,,,,,1,Sweden,Man,Handball,25-34,Rugby,155184605
I believe so,,,,,,,,,,,,,1,Sweden,Man,Basketball,35-44,Football,155184729
There are very well-known football matches broadcast on TV,1,,,,,,,,,,,1,,Germany,Man,Football,55-65,Golf,155184807
Both have national teams and major tournaments,,,,,,1,,,,,,,,Sweden,Man,Football,25-34,Golf,155184884
Men and women both participate in athletics together,,,,,,1,,,,,,,,UK,Man,Athletics,18-24,Football,155185001
Everyone plays,,,,,,,1,,,,,,,UK,Man,Volleyball,25-34,Rugby,155185049
There are leagues for both men and women,,,,,,1,,,,,,,,UK,Man,Football,55-65,Basketball,155185096
It is one of the first to promote equality between the sexes.,,,,,,,,1,,,,,,UK,Man,Golf,55-65,Rugby,155185218
because it is formerly inclusive,,,,,,,1,,,,,,,France,Woman,Tennis,55-65,Volleyball,155212919
Because we see more female competition,,,,,,,,,,1,,1,,France,Woman,Volleyball,55-65,Rugby,155212948
Because I think these are the first in their field,,,,,,,,,,,,,1,France,Woman,Football,45-54,Athletics,155213019
most followed team sport,,,,,,,,,,,,,1,France,Man,Football,35-44,Golf,155213035
Because it is publicized for both men and girls,,,,,,1,,,,,,,,France,Woman,Rugby,45-54,Golf,155213036
EXCLUSIVE,,,,,,,,,,,,,1,France,Man,Football,55-65,Gymnastics,155213041
Because the competitions are sometimes mixed,,,,,,,,,,,,,1,France,Man,Athletics,18-24,Cycling,155213044
There is no difference between genders same representation,,,,,,,1,,,,,,,France,Woman,Gymnastics,45-54,Golf,155213063
An evidence,,,,,,,,,,,,,1,France,Woman,Handball,35-44,Football,155213078
men and women participate in the same events,,,,,,,,1,,,,,,France,Woman,Athletics,55-65,Gymnastics,155213104
No more woman,,,,,,,,,,1,,,,France,Woman,Gymnastics,45-54,Tennis,155213107
"Because there are a lot of people, even foreigners",,,,,,,,,,,,,1,France,Woman,Football,25-34,Basketball,155213109
Soccer,,,,,,,,,,,,,1,France,Woman,Gymnastics,25-34,Golf,155213115
We talk about women in the news in the same way as men,,,,,,,,,,1,,,,France,Woman,Tennis,35-44,Gymnastics,155213126
Many women's matches are transcribed and we hear about them.,,,,,,,,,,,,1,,France,Woman,Handball,45-54,Rugby,155213294
Because we don't see many girls doing it,,,,,,,,,,1,,,,France,Woman,Golf,35-44,Athletics,155213295
Same prize money,,,,1,,,,,,,,,,Sweden,Man,Golf,25-34,Basketball,155213322
Because there are as many women as men who practice sports,,,,,,,,,,1,,,,France,Man,Handball,35-44,Gymnastics,155213349
Thinking of Lui,,,,,,,,,,,,,1,Sweden,Woman,Handball,35-44,Gymnastics,155213357
Men earn more than women from football,1,,,,,,,,,,,,,Sweden,Woman,Football,25-34,Athletics,155213368
Very,,,,,,,,,,,,,1,Poland,Woman,Volleyball,25-34,Athletics,155213370
sport with a greater open mind,,,,,,,,,,,,,1,France,Woman,Handball,55-65,Golf,155213392
There are no obstacles,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Rugby,155213397
Everyone can participate regardless of disability with various aids,,,,,,,1,,,,,,,Sweden,Woman,Cycling,35-44,Rugby,155213404
It's for everyone,,,,,,,1,,,,,,,Poland,Man,Athletics,35-44,Football,155213411
all categories,,,,,,,,,,,,,1,France,Woman,Tennis,35-44,Gymnastics,155213413
Less pay per match,,,,1,,,,,,,,,,Poland,Man,Tennis,45-54,Athletics,155213425
"From a fan's perspective, women in this discipline do not disappoint and are often encouraged to continue playing.",,,,,,,,,,1,,,,Poland,Man,Volleyball,18-24,Rugby,155213429
Here all genders are equal,,,,,,,,1,,,,,,Poland,Man,Gymnastics,45-54,Rugby,155213431
Practice of the same apparatus,,,,,,,,1,,,,,,France,Woman,Gymnastics,35-44,Golf,155213437
Leveling the stakes in Grand Slams,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Golf,155213445
"Because in this sport, what matters most is the skills of the players, not their classification based on gender",,,,,,,,,,,,,1,Poland,Man,Tennis,35-44,Football,155213452
Because it has had an equal share of genders for years,,,,,,,,1,,,,,,Poland,Woman,Gymnastics,25-34,Rugby,155213460
"A lot has changed in football recently, there are sports competitions for women's teams that are becoming more and more popular.",1,,,,1,,,,,,,,,Poland,Woman,Football,55-65,Athletics,155213468
Yes,,,,,,,,,,,,,1,France,Woman,Football,35-44,Golf,155213493
"Looking at women's success in this field of sport, I think so",,,,,,,,,,1,,,,Poland,Man,Tennis,25-34,Rugby,155213508
Caf it’s really mixed,,,,,,,,,,,,,1,France,Man,Tennis,25-34,Rugby,155213532
Because everyone is equal,,,,,,,,1,,,,,,Poland,Man,Athletics,35-44,Tennis,155213554
We see as many women's matches as men's matches on TV,,,,,,,,,,,,1,,France,Woman,Handball,25-34,Football,155213557
Because both men and women play,,,,,,,,,,1,,,,Poland,Man,Handball,25-34,Football,155213563
Alright,,,,,,,,,,,,,1,France,Man,Cycling,25-34,Athletics,155213579
The players are respected,,,,,,,,,,,,,1,France,Man,Volleyball,35-44,Golf,155213580
Both women and men have the same rights and participation in this sport.,,,,,,1,,,,,,,,Poland,Man,Gymnastics,45-54,Rugby,155213592
I do not think so,,,,,,,,,,,,,1,France,Woman,Volleyball,25-34,Football,155213595
This is how it looks like in my country,,,,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Athletics,155213612
Because it develops interest among the female sex,,,,,,,,,,1,,,,Poland,Man,Athletics,25-34,Football,155213625
More women play tennis,1,,,,,,,,,1,,,,Poland,Man,Tennis,45-54,Handball,155213628
"Because there are more men in this sport, women are not considered the same for the same sport",,,,,,,,1,,,,,,France,Woman,Football,45-54,Gymnastics,155213634
This is the image I have when I watch athletics competitions,,,,,,,,,,,,,1,France,Woman,Athletics,45-54,Rugby,155213652
"A fairly simple sport in which there is not much competition between the sexes. In other sports, a woman usually has no chance, and what's worse, she could be harmed by guys who are much heavier and stronger than her. I don't see any such obstacles in golf and I think they could play against each other.",1,,,,,,,,,,,,,Poland,Man,Golf,25-34,Rugby,155213684
Maybe because women are very successful there,,,,,,,,,,1,,,,Poland,Man,Volleyball,35-44,Golf,155213716
Because they distribute well,,,,,,,,,,,,,1,Sweden,Man,Golf,55-65,Rugby,155213803
It serves everyone,,,,,,,1,,,,,,,Poland,Woman,Gymnastics,35-44,Golf,155213816
Just a feeling that I have,,,,,,,,,,,,,1,Sweden,Woman,Basketball,55-65,Gymnastics,155213817
They get points for the game alone.,,,,,,,,,,,,,1,Sweden,Woman,Tennis,45-54,Rugby,155213820
There is a lot of talk about professions for both men and women,,,,,,1,,,,,,,,Poland,Woman,Tennis,25-34,Handball,155213925
Because both boys and girls are accepted,,,,,,1,,,,,,,,Sweden,Woman,Handball,25-34,Rugby,155213978
Both make and female events,,,,,,1,,,,,,,,UK,Woman,Gymnastics,45-54,Rugby,155214041
Just because they seem fair,,,,,,,,,,,,,1,UK,Woman,Cycling,45-54,Rugby,155214060
Because people don’t tend to discriminate when it comes to athletics people would still watch no matter the gender,,,,,,,,,,,1,,,UK,Woman,Athletics,25-34,Football,155214082
different sports,,,,,,,,,,,,,1,UK,Woman,Athletics,18-24,Handball,155214084
More popular with women,,,,,1,,,,,1,,,,UK,Woman,Volleyball,25-34,Rugby,155214110
It is more widespread,,,,,,,,,,,,,1,Spain,Woman,Football,35-44,Rugby,155214114
Due to the demand that it has,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Cycling,155214138
There are established women's teams,,,,,,,,,,1,,,,Sweden,Woman,Football,25-34,Rugby,155214151
It feels so.,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,35-44,Football,155214153
Why was blonde kisses more important than drinks?,,,,,,,,,,,,,1,Spain,Woman,Football,45-54,Basketball,155214155
Everyone plays,,,,,,,1,,,,,,,Sweden,Man,Football,35-44,Volleyball,155214158
Because women are even more important than men,,,,,,,,,,1,,,,Spain,Man,Gymnastics,45-54,Rugby,155214181
Because it is the most famous sport,,,,,1,,,,,,,,,Spain,Man,Football,35-44,Golf,155214187
Many women than men,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,35-44,Rugby,155214192
I see it like this,,,,,,,,,,,,,1,Spain,Woman,Volleyball,45-54,Rugby,155214207
Because they have the same rights as men's football,1,,,,,,,,,,,,,Spain,Man,Football,45-54,Cycling,155214226
Because there is a lot of equality,,,,,,,,1,,,,,,Spain,Woman,Athletics,45-54,Golf,155214241
There are many women,,,,,,,,,,1,,,,Spain,Woman,Athletics,35-44,Rugby,155214242
The majority are women,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,25-34,Tennis,155214254
That's how I think the truth.,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Golf,155214264
Yeah,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Handball,155214271
Anyone can play,,,,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Rugby,155214288
"Because women are very interested, it is more difficult for men to enter this sport, women are more capable of this sport.",,,,,,,,,,1,,,,Spain,Man,Gymnastics,35-44,Rugby,155214322
"Although the individual competition differentiates the male and female categories, when playing as a team as there are only a few participants, little by little interesting matches with mixed pairs are being introduced.",,,,,,,,,,1,,,,Spain,Man,Tennis,55-65,Rugby,155214341
I think a lot is hidden. Why is that a difficult question,,,,,,,,,,,,,1,Germany,Man,Gymnastics,55-65,Tennis,155214357
The sport that is most practiced is for women,1,,,,,,,,,1,,,,Spain,Woman,Volleyball,35-44,Football,155214358
Available,,,,,,,,,,,,,1,Sweden,Woman,Football,25-34,Cycling,155214365
A few people have come out and said they are gay,,,,,,,,,,,,,1,UK,Woman,Rugby,55-65,Handball,155214368
National teams for women and men,,,,,,,,,,1,,,,Sweden,Woman,Football,55-65,Rugby,155214370
It is the sport with the most followers,,,,,,,,,,,,,1,Spain,Woman,Football,55-65,Rugby,155214371
I think they started earlier in this discipline,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155214376
It is obvious,,,,,,,,,,,,,1,Spain,Woman,Tennis,55-65,Rugby,155214386
Both good,,,,,,1,,,,,,,,UK,Woman,Gymnastics,55-65,Golf,155214417
is treated equally,,,,,,,,1,,,,,,Spain,Man,Cycling,55-65,Football,155214421
They have done a great job in mixed competitions,,,,,,,,,,,,,1,Spain,Woman,Athletics,35-44,Rugby,155214437
"Why do I think it is the one in which athletes can succeed with the greatest variety of sexes, regardless of their gender?",,,,,,,,,,,,,1,Spain,Man,Gymnastics,25-34,Rugby,155214443
Peoples views are different on football and they respect women’s teams,1,,,,,,,,,,,,,UK,Woman,Football,25-34,Rugby,155214452
In my opinion it is the one that has the most,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Rugby,155214455
"For a long time, men and women have competed almost equally",,,,,,,,1,,,,,,Spain,Woman,Athletics,35-44,Rugby,155214456
Everyone can join,,,,,,,1,,,,,,,Sweden,Man,Athletics,45-54,Gymnastics,155214521
There are lots of opportunities for both men and women,,1,,,,1,,,,,,,,UK,Woman,Football,55-65,Volleyball,155214537
Equal points rating,,,,,,,,1,,,,,,Germany,Woman,Tennis,25-34,Rugby,155214555
both genders can participate,,,,,,1,,,,,,,,Spain,Man,Cycling,55-65,Golf,155214595
Women don’t get much support,,,,,,,,,,,,,,UK,Woman,Football,18-24,Cycling,155214611
Men and women are included,,,,,,,,,,1,,,,UK,Woman,Football,25-34,Basketball,155214634
it's good,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Rugby,155214638
Both genders compete,,,,,,1,,,,,,,,UK,Woman,Athletics,35-44,Basketball,155214672
There is much variety,,,,,,,,,,,,,1,Spain,Man,Athletics,25-34,Volleyball,155214717
Most  men play,,,,,,,,,,1,,,,UK,Woman,Basketball,25-34,Football,155214718
because they allow women and men,,,,,,,,,,1,,,,Spain,Woman,Cycling,25-34,Basketball,155214720
Because there are great women tennis players,1,,,,,,,,,1,,,,Spain,Man,Tennis,35-44,Cycling,155214757
Same tournaments,,,,,,,,1,,,,,,Spain,Man,Tennis,25-34,Rugby,155214764
THERE HAS BEEN SOME PROGRESS LATELY BUT THERE IS STILL A LONG WAY TO GO,,,,,,,,,,,,,1,Spain,Man,Football,55-65,Handball,155214787
It has always been both genders participating,,,,,,1,,,,,,,,UK,Woman,Gymnastics,55-65,Basketball,155214833
Only women,,,,,,,,,,1,,,,Germany,Man,Football,18-24,Gymnastics,155214835
It's the same for everyone,,,,,,,,1,,,,,,Spain,Man,Volleyball,55-65,Cycling,155214838
For being the most inclusive of all sports.,,,,,,,1,,,,,,,Spain,Man,Rugby,35-44,Cycling,155214889
because women are rarely seen playing that sport,,,,,,,,,,1,,,,Spain,Man,Rugby,35-44,Gymnastics,155214908
Most shown with both men and women,,,,,,1,,,,,,,,UK,Woman,Tennis,25-34,Football,155214910
"I get the feeling that it is a sport in which women and men participate equally, where the sports competitions that take place give visibility to both and that at the level of aid and sponsorships, women are not as discriminated against as in other sports.",,,,,,,,,,,1,,,Spain,Woman,Athletics,25-34,Golf,155214916
Because they are focusing more on boy’s football than girls,1,,,,,,,,,,,,,UK,Woman,Football,45-54,Gymnastics,155214941
Because it is where they let women settle the most even though they don't give it much attention.,,,,,,,,,,1,,,,Spain,Man,Gymnastics,25-34,Rugby,155214943
Because female tennis players are at least largely as respected and paid as their male colleagues,1,,,,,,,,,,,,,Germany,Woman,Tennis,35-44,Football,155215030
Equal representation of both sexes,,,,,,,1,,,,,,,UK,Woman,Gymnastics,35-44,Football,155215051
Because there is an equal representation in media,,,,,,,,,,,,1,,UK,Woman,Cycling,18-24,Football,155215071
They have women and men teams and they all work together,,,,,,,1,,,,,,,UK,Woman,Rugby,18-24,Volleyball,155215163
For both sexes,,,,,,1,,,,,,,,UK,Woman,Tennis,35-44,Rugby,155215205
After most people play football. Where they are a little more 50 50,1,,,,,,,,,,,,,Sweden,Woman,Football,45-54,Rugby,155215282
Because the women’s rugby has similar amount of popularity than the men’s,1,,,,1,,,,,1,,,,UK,Woman,Rugby,25-34,Golf,155215431
More women teams are now flourishing,,,,,,,,,,1,,,,UK,Woman,Football,55-65,Rugby,155215567
Appears to have a high ratio of mix sexes,,,,,,,,,,,,,1,UK,Woman,Cycling,55-65,Rugby,155215699
Because women's tennis is viewed equally and professional female athletes are reported on in the same way.,1,,,,,,,,,,,,,Germany,Woman,Tennis,35-44,Rugby,155215902
a strong sport,,,,,,,,,,,,,1,Germany,Man,Football,45-54,Golf,155215944
It seems logical to me,,,,,,,,,,,,,1,Germany,Woman,Cycling,45-54,Football,155216071
Because most are male,,,,,,,,,,1,,,,Germany,Woman,Football,25-34,Tennis,155216089
Because it is more of a women's sport and there is more emphasis on equality,,,,,,,,1,,,,,,Germany,Woman,Gymnastics,35-44,Rugby,155216247
You can see that on TV,,,,,,,,,,,,1,,Germany,Man,Athletics,45-54,Football,155216275
"Here, one hears little about gender stereotypes and the clothes that have to be worn that are too short and tight.",,,,,,,,,,,,1,,Germany,Woman,Handball,35-44,Athletics,155216686
I think that's good,,,,,,,,,,,,,1,Germany,Man,Basketball,55-65,Rugby,155216873
This has changed massively since T. Hitzelsberger came out.,,,,,,,,,,,,,1,Germany,Man,Football,45-54,Golf,155216882
Good costumes,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Handball,155217204
"Because all athletes, whether male or female, are celebrated equally",,,,,,,,1,,,,,,Germany,Woman,Athletics,45-54,Rugby,155217213
Women and men are equal in athletics without restrictions,,,,,,,,1,,,,,,Germany,Woman,Athletics,55-65,Rugby,155217385
There are many very successful professional players there,,,,,,,,,,,,,1,Germany,Woman,Tennis,45-54,Rugby,155217951
I think because this sport had a lot of women represented very early on,,,,,,,,,,1,,,,Germany,Woman,Gymnastics,25-34,Football,155218188
Most female participants,,,,,,,,,,1,,,,Sweden,Man,Football,55-65,Rugby,155218369
because it is played almost entirely by men.,,,,,,,,,,,,,1,Sweden,Man,Golf,45-54,Gymnastics,155252409
"From my point of view, it is where, for the longest time, there has been the most variety of genres.",,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155452233
Golf,1,,,,,,,,,,,,,Spain,Woman,Tennis,35-44,Volleyball,155452282
Because both men and women participate in all categories.,,,,,,1,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155452289
"AS A RULE, ACCESS AND EARNINGS AMONG THESE DISCIPLINES ARE THE MOST EQUAL",,,,1,,,,,,,,,,Poland,Woman,Athletics,55-65,Rugby,155452305
The great gymnasts of history,1,,,,,,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155452307
Because it is played by both women and men,,,,,,,,,,1,,,,Sweden,Man,Tennis,55-65,Rugby,155452327
Why do both girls and boys do it?,,,,,,1,,,,,,,,Spain,Woman,Volleyball,25-34,Golf,155452329
It seems more diverse to me when it comes to participating.,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Golf,155452358
Because there are two categories divided into women and men,,,,,,,,,,1,,,,Poland,Woman,Athletics,25-34,Rugby,155452427
I see that it is the most integrative,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Football,155452442
There are more women who practice it,,,,,,,,,,1,,,,Spain,Man,Gymnastics,55-65,Rugby,155452462
It's a sport that mixes beautiful women and men,1,,,,,,,,,,,,,France,Man,Gymnastics,25-34,Golf,155452468
It is the one that is least distinguished by its race or origin.,,,,,,,,,,,,,1,Spain,Woman,Golf,35-44,Tennis,155452470
There are women's handball teams,,,,,,,,,,1,,,,France,Man,Handball,35-44,Rugby,155452482
There are mixed players,,,,,,,,,,,,,1,France,Woman,Volleyball,35-44,Golf,155452483
Too much difference between men and women,,,,,,,,,,1,,,,France,Man,Football,35-44,Gymnastics,155452626
Same for a long time...,,,,,,,,1,,,,,,Sweden,Man,Golf,55-65,Gymnastics,155452835
Because there are no women's teams,,,,,,,,,,,,,,France,Man,Rugby,35-44,Volleyball,155453048
Of course yes,,,,,,,,,,,,,1,France,Man,Football,25-34,Athletics,155453239
it's made for men,,,,,,,,,,,,,1,France,Man,Rugby,45-54,Tennis,155453284
Sexist and unmixed,,,,,,,,,,,,,1,France,Man,Football,25-34,Gymnastics,155453286
Because it is perceived as fair,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,45-54,Football,155453365
athletics,,,,,,,,,,,,,1,Sweden,Man,Handball,45-54,Rugby,155453450
Popular,,,,,1,,,,,,,,,France,Man,Football,35-44,Golf,155454318
Lots of girls,,,,,,,,,,1,,,,France,Man,Volleyball,35-44,Rugby,155454394
women can participate in this sport without any problems,,,,,,,,,,1,,,,Poland,Woman,Handball,35-44,Football,155455557
"Because despite everything, people from other countries or other skin colors are accepted there",,,,,,,,,,,,,1,Poland,Woman,Volleyball,18-24,Golf,155455610
Because there are as many male athletes as female athletes,,,,,,,,,,1,,,,Poland,Woman,Athletics,25-34,Football,155455642
So I've heard,,,,,,,,,,,,1,,Poland,Woman,Tennis,35-44,Rugby,155455687
Mostly male groups,,,,,,,,,,,,,1,Poland,Woman,Football,25-34,Athletics,155455726
I believe that their merits are recognized in the same way,,,,,,,,1,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155455769
there is equal rights here,,,,,,,,1,,,,,,Poland,Woman,Volleyball,25-34,Football,155455839
Volleyball players give a lot of themselves in Poland,1,,,,,,,,,,,,,Poland,Woman,Volleyball,55-65,Golf,155455886
Yes,,,,,,,,,,,,,1,UK,Woman,Football,55-65,Handball,155455917
Women are usually better than men,,,,,,,,,,1,,,,UK,Man,Gymnastics,55-65,Golf,155455920
It's equally easy for men and women,,,,,,,,1,,,,,,UK,Woman,Athletics,55-65,Rugby,155455989
It’s a global sport that attracts both genders,1,,,,,,,,,,,,,UK,Man,Football,45-54,Rugby,155456046
It encourages inclusion,,,,,,,,,,,,,1,UK,Woman,Gymnastics,45-54,Rugby,155456049
Because both genders can play,,,,,,1,,,,,,,,UK,Woman,Volleyball,18-24,Handball,155456112
Running,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Rugby,155456173
"It brings togetherness irrespective of gender,race or nationality",,,,,,,1,,,,,,,UK,Woman,Football,45-54,Volleyball,155456174
Don’t know,,,,,,,,,,,,,1,UK,Woman,Football,18-24,Golf,155456304
I've just seen more equal matches,,,,,,,,1,,,,,,UK,Woman,Golf,35-44,Rugby,155456321
Most viewed,,,,,,,,,,,,,1,France,Man,Football,25-34,Cycling,155456347
Because it’s basic and using your hands,,,,,,,,,,,,,1,UK,Woman,Handball,18-24,Basketball,155456478
It has both girls and boys gymnastics shown equal,1,,,,,,,,,,,,,UK,Woman,Gymnastics,35-44,Rugby,155456504
Both girls and boys have the same rights,,,,,,1,,,,,,,,UK,Man,Gymnastics,18-24,Football,155456565
For all body types,,,,,,,,,,,,,1,UK,Man,Rugby,55-65,Handball,155456588
They televise men and women the samr,,,,,,,,,,1,,,,UK,Woman,Cycling,55-65,Tennis,155456614
All genders are represented,,,,,,,1,,,,,,,France,Woman,Athletics,45-54,Handball,155456637
Seems most prevalent? Woman competition paid the same,,,,,,,,1,,,,,,UK,Man,Tennis,25-34,Rugby,155456662
Both genders take part equally,,,,,,,,1,,,,,,UK,Woman,Athletics,25-34,Football,155456665
Due to the amount of events.,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Rugby,155456684
Don’t know,,,,,,,,,,,,,1,UK,Man,Golf,18-24,Handball,155456704
due to have a women’s league,,,,,,,,,,1,,,,UK,Woman,Football,18-24,Golf,155456732
I find that the women's teams are well highlighted and that they are well recognized,,,,,,,,,,1,,,,France,Woman,Rugby,55-65,Golf,155456859
Less physical,,,1,,,,,,,,,,,France,Woman,Golf,25-34,Athletics,155457236
Because equality between men and women their salaries are not the same,,,,,,,,1,,,,,,France,Woman,Football,45-54,Volleyball,155457321
because of the history of this sport,,,,,,,,,,,,,1,France,Man,Rugby,18-24,Gymnastics,155457477
"Rather accessible to all,",,,,,,,,,,,,,1,France,Woman,Handball,35-44,Football,155457499
Because there are women,,,,,,,,,,1,,,,France,Woman,Gymnastics,45-54,Rugby,155457501
More equality and adapted disciplines,,,,,,,,1,,,,,,France,Woman,Gymnastics,45-54,Football,155457592
It is a sport where recognition and promotion is similar between genders,,,,,,,,,,,,1,,France,Woman,Gymnastics,55-65,Rugby,155458173
We go to a lot more men's matches than women's,,,,,,,,,,1,,,,France,Woman,Football,55-65,Gymnastics,155458422
I couldn't explain it,,,,,,,,,,,,,1,France,Woman,Athletics,55-65,Cycling,155458724
Because the salary for men and women is close,,,,,,,,,,,,,,France,Woman,Athletics,35-44,Football,155458769
Not many women present,,,,,,,,,,1,,,,France,Woman,Rugby,25-34,Gymnastics,155458899
Equally who,,,,,,,,1,,,,,,Sweden,Man,Football,55-65,Gymnastics,155458952
