text,Masculine-centric / Brutal sport,Male dominated sport,Personal impression/Intuition,Lack of familiarity,Underrepresentation of Women,Wage Inequality,Sexist or sexualised,Media visibility / lack of awareness,Gender disparities,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Rugby is a very aggressive sport in which women rarely play with composure.,1,,,,,,,,1,,Poland,Man,Volleyball,18-24,Rugby,155213429
Typical sport for men,,,,,,,,,,,Poland,Man,Gymnastics,45-54,Rugby,155213431
Widely practiced by men,,,,,,,,,,,France,Woman,Gymnastics,35-44,Golf,155213437
Overrepresentation of men,,,,,,,,,,,Poland,Man,Tennis,45-54,Golf,155213445
"In football, men are favored",,1,,,,,,,1,,Poland,Man,Tennis,35-44,Football,155213452
It is considered a typically male sport and is stereotypically perceived and associated as such. I've never heard of a non-men's rugby team,,1,,,,,,1,1,,Poland,Woman,Gymnastics,25-34,Rugby,155213460
I just think that there is a permanent division into sports disciplines for men and women and nothing will likely change there.,,,,,,,,,,1,Poland,Woman,Football,55-65,Athletics,155213468
because it’s not sporty I think,,,1,,,,,,,,France,Woman,Football,35-44,Golf,155213493
It seems to me that women would not feel comfortable in such a physical sport,,,,,,,,1,,,Poland,Man,Tennis,25-34,Rugby,155213508
Because everything is gendered,,,,,,,,,,1,France,Man,Tennis,25-34,Rugby,155213532
Small representation of women's teams in the media,,,,,,,,1,,,Poland,Woman,Tennis,25-34,Football,155213542
Because there are too many differences in earnings,,,,,,1,,,,,Poland,Man,Athletics,35-44,Tennis,155213554
People are only interested in men's football,,1,,,,,,,1,,France,Woman,Handball,25-34,Football,155213557
Women earn much less,,,,,,1,,,,,Poland,Man,Handball,25-34,Football,155213563
Too much man,,,,,,,,,,,France,Man,Cycling,25-34,Athletics,155213579
Few women play it,,,,,1,,,,,,France,Man,Volleyball,35-44,Golf,155213580
"Rugby is a typically masculine, brutal sport.",1,,,,,,,,1,,Poland,Man,Gymnastics,45-54,Rugby,155213592
I don't know,,,,1,,,,,,,France,Woman,Volleyball,25-34,Football,155213595
This is accepted,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Athletics,155213612
"Because women cannot adopt a strategy, they are physically weaker and more susceptible to injuries",,,,,,,,,,1,Poland,Man,Athletics,25-34,Football,155213625
A lot of men play tennis,,,,,,,,,,,Poland,Man,Tennis,45-54,Handball,155213628
Because gymnastics is a sport where we see as many men as women,,,,,,,,1,,,France,Woman,Football,45-54,Gymnastics,155213634
It remains a very masculine sport,1,,,,,,,,,,France,Woman,Athletics,45-54,Rugby,155213652
"Why? A tough sport in which you often felt as if you were going to be broken. I can't imagine women being able to compete with men. We differ too much in terms of body structure, weight and strength, it would be unfair to women.",1,,,,,,,,,,Poland,Man,Golf,25-34,Rugby,155213684
You never hear about women in this sport,,,,,1,,,1,,,Poland,Man,Volleyball,35-44,Golf,155213716
Because few women practice this sport,,,,,1,,,,,,Poland,Man,Athletics,45-54,Rugby,155213719
You can fit in,,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Golf,155213816
I assume that in that sport it is not accepted,,,,,,,,,,1,Sweden,Woman,Basketball,55-65,Gymnastics,155213817
Only men do this.,,1,,,,,,,,,Sweden,Woman,Tennis,45-54,Rugby,155213820
you only hear about men in this sport,,,,,,,,1,,,Poland,Woman,Tennis,25-34,Handball,155213925
Don't see womens rugby advertised,,,,,,,,1,1,,UK,Woman,Gymnastics,45-54,Rugby,155214041
No women seem to play this sport,,1,,,1,,,1,,,UK,Woman,Cycling,45-54,Rugby,155214060
For example woman’s football isn’t as popular,,,,,,,,,1,,UK,Woman,Athletics,25-34,Football,155214082
Rough sport more prone to injury,,,,,,,,,,,UK,Woman,Volleyball,25-34,Rugby,155214110
it's very gross,,,,,,,,,,1,Spain,Woman,Football,35-44,Rugby,155214114
It tires a lot,,,,,,,,,,,Spain,Woman,Football,25-34,Cycling,155214138
Very male dominated,,1,,,,,,,,,Sweden,Woman,Gymnastics,35-44,Football,155214153
Good girls,,,,,,,,,,1,Sweden,Man,Football,35-44,Volleyball,155214158
no equality in support,,,,,,,,,,1,UK,Woman,Gymnastics,18-24,Football,155214161
It is a very masculine strength sport,1,,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155214181
It's very masculine,1,,,,,,,,,,Spain,Woman,Volleyball,45-54,Rugby,155214207
They have golf as a sport only for men,,,,,,,,,1,,Spain,Woman,Athletics,45-54,Golf,155214241
I believe that women do not have the same rights.,,,,,,,,,,1,Spain,Woman,Athletics,35-44,Rugby,155214242
"Although women performed in that sport, they were not allowed to dominate",,1,,,,,,,,1,Sweden,Woman,Gymnastics,25-34,Tennis,155214254
It's sexist,,,,,,,1,,,,Spain,Man,Gymnastics,35-44,Golf,155214264
They are usually only men,,1,,,,,,,,,Spain,Woman,Tennis,35-44,Rugby,155214288
Because there is still no international league and there is no league in all countries like soccer or basketball.,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155214322
"In professional teams, the strength that masculinity gives prevails.",1,,,,,,,,,,Spain,Man,Tennis,55-65,Rugby,155214341
You can see that there are people really into this sport through their behavior,,,,,,,,1,,,Germany,Man,Gymnastics,55-65,Tennis,155214357
Where is there more gender inequality?,,,,,,,,,,1,Spain,Woman,Volleyball,35-44,Football,155214358
It's bullshit,,,,,,,,,,1,Sweden,Woman,Football,25-34,Cycling,155214365
Mostly men,,,,,,,,,,,Sweden,Woman,Football,55-65,Rugby,155214370
maybe because it is a rough sport,,,,,,,,,,,Spain,Woman,Football,55-65,Rugby,155214371
"Well, first of all, it is a minority sport in our country for any gender, but for women it is an excessively strong sport.",,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155214376
It is a very violent sport,,,,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155214380
I don't see women in this sport,,,,,1,,,1,,,Spain,Woman,Tennis,55-65,Rugby,155214386
Men only like it,,,,,,,,,,,UK,Woman,Gymnastics,55-65,Golf,155214417
it's sexist,,,,,,,1,,,,Spain,Man,Cycling,55-65,Football,155214421
It is still a men's sport and a very aggressive sport.,1,1,,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155214437
I see it as a sport that only men play.,,1,,,,,,1,,,Spain,Man,Gymnastics,25-34,Rugby,155214443
Doesn’t feel like we see anything of female rigby,,,,,,,,1,,,UK,Woman,Football,25-34,Rugby,155214452
I haven't seen it,,,,,,,,1,,,Spain,Man,Football,25-34,Rugby,155214455
It is a rough and abrupt sport much more typical of men.,1,,,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155214456
because they have very different salaries,,,,,,1,,,,,Spain,Woman,Athletics,25-34,Football,155214466
Extremely female-dominated sport,,1,,,,,,,,,Sweden,Man,Athletics,45-54,Gymnastics,155214521
He is sedentary and strength is very important,,,,,,,,,,1,Spain,Man,Cycling,55-65,Golf,155214595
Only men play basketball,,1,,,,,,,,,UK,Woman,Football,25-34,Basketball,155214634
it's ugly,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Rugby,155214638
Probably mostly guys,,,,,,,,,,,Sweden,Woman,Handball,45-54,Rugby,155214657
I never see women basket ball players,,,,,1,,,1,,,UK,Woman,Athletics,35-44,Basketball,155214672
There are other sports with more gender inclusion.,,,,,,,,,,1,Spain,Man,Athletics,25-34,Volleyball,155214717
Woman  n men play,,,,,,,,,,1,UK,Woman,Basketball,25-34,Football,155214718
because there is a male and female team,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Basketball,155214720
I don't usually see women cyclists,,,,,1,,,1,,,Spain,Man,Tennis,35-44,Cycling,155214757
Hardest sport,,,,,,,,,,1,Spain,Man,Tennis,25-34,Rugby,155214764
I DO NOT THINK THEY HAVE EITHER THE SAME OPPORTUNITIES OR THE SAME SALARIES AS MEN,,,,,,,,,,1,Spain,Man,Football,55-65,Handball,155214787
Not seen much of womens basketball,,,,,,,,1,,,UK,Woman,Gymnastics,55-65,Basketball,155214833
Yes,,,,,,,,,,1,Germany,Man,Football,18-24,Gymnastics,155214835
It is different,,,,,,,,,,,Spain,Man,Volleyball,55-65,Cycling,155214838
Because of the little female representation there is.,,,,,,,,,,1,Spain,Man,Rugby,35-44,Cycling,155214889
You see both men and women doing gymnastics,,,,,,,,1,,,Spain,Man,Rugby,35-44,Gymnastics,155214908
"Although there are women who play golf, I think there is not enough visibility for them. At least in Spain there are no female references in golf within the social information",,,1,,,,,1,1,,Spain,Woman,Athletics,25-34,Golf,155214916
Because it is equal,,,,,,,,,,1,UK,Woman,Football,45-54,Gymnastics,155214941
"Being aggressive, society associates it more with men.",,,,,,,,,,,Spain,Man,Gymnastics,25-34,Rugby,155214943
"Poor pay, less attention for women",,,,,,1,,,,,Germany,Woman,Tennis,35-44,Football,155215030
Men rule the sport,,,,,,,,,,,UK,Woman,Gymnastics,35-44,Football,155215051
Because it’s an extremely male dominated sport in both media representation and in physical numbers,,1,,,,,,1,,,UK,Woman,Cycling,18-24,Football,155215071
I’m not sure,,,,,,,,,,1,UK,Woman,Rugby,18-24,Volleyball,155215163
bloody sport,,,,,,,,,,1,Sweden,Man,Athletics,55-65,Rugby,155215166
Because I think football is only described as a men’s sport,,1,1,,,,,,1,,Germany,Woman,Basketball,25-34,Football,155215168
Mainly male dominated,,1,,,,,,,,,UK,Woman,Tennis,35-44,Rugby,155215205
Male dominated,,1,,,,,,,,,Sweden,Woman,Football,55-65,Rugby,155215370
Women don’t play as professionals,,,,,,,,,,1,UK,Woman,Rugby,25-34,Golf,155215431
When a football is on the TV and the players are men it is referred to as -football- but if the players are women it is called -woman's football-,,1,,,,,,1,1,,UK,Woman,Tennis,45-54,Football,155215458
women dont seem to be apart of the community of golf and i dont know any famous female golf players,,,,1,,,,1,1,,UK,Woman,Gymnastics,18-24,Golf,155215492
"As a harsher sports, some women may be put off",,,,,,,,,,,UK,Woman,Football,55-65,Rugby,155215567
Male orientated,,,,,,,,,,,UK,Woman,Cycling,55-65,Rugby,155215699
Women do not have the same physique,,,,,,,,,,1,Sweden,Woman,Athletics,45-54,Rugby,155215819
You rarely hear about women's rugby. I wasn't even aware that women's rugby existed as a professional sport.,,,,,,,,1,1,,Germany,Woman,Tennis,35-44,Rugby,155215902
I don't know any female players,,,,1,,,,1,,,Germany,Man,Football,45-54,Golf,155215944
The traditional image of men still prevails there,,,,,,,,,,,Germany,Woman,Cycling,45-54,Football,155216071
Because it is a brutal sport and women have little value there,1,,,,,,,,,,Germany,Woman,Gymnastics,35-44,Rugby,155216247
Are still paid less,,,,,,1,,,,,Germany,Man,Athletics,45-54,Football,155216275
A strict dress code in which hardly any woman feels comfortable.,,,,,,,,,,1,Germany,Woman,Handball,35-44,Athletics,155216686
This should be the same,,,,,,,,,,1,Germany,Man,Basketball,55-65,Rugby,155216873
"no team sports, no teasing.",,,,,,,,,,1,Germany,Man,Football,45-54,Golf,155216882
Bad rempo,,,,,,,,,,1,Sweden,Man,Tennis,55-65,Football,155217062
Hard,,,,,,,,,,,Sweden,Man,Football,55-65,Handball,155217204
Because rugby is not very popular in Germany. Therefore it is more of a men's sport and less for women,1,1,,,,,,,1,,Germany,Woman,Athletics,45-54,Rugby,155217213
Typical men’s sports are rarely played by women,,,,,,,,,,,Germany,Woman,Athletics,55-65,Rugby,155217385
You don't need,,,,,,,,,,1,Germany,Woman,Rugby,25-34,Football,155217723
"Because the sport is very brutal, there is no professional female rugby player",1,,,,,,,,1,,Germany,Woman,Tennis,45-54,Rugby,155217951
Men’s football is advertised much more and I believe the players earn significantly more than women,,,,,,1,,1,1,,Germany,Woman,Gymnastics,25-34,Football,155218188
I think there is a minimum representative of inclusion,,,1,,,,,,,,Spain,Man,Gymnastics,35-44,Rugby,155452233
Tennis,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Volleyball,155452282
Because there are no women's teams,,1,,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155452289
More of men,,,,,,,,,,,Spain,Woman,Volleyball,35-44,Rugby,155452301
EVEN THE FANS OF THIS DISCIPLINE DON'T KNOW THE WOMEN'S RUGBY LEAGUE,,,,1,,,,,1,,Poland,Woman,Athletics,55-65,Rugby,155452305
Because women do not have the same physical capacity as men.,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155452307
I haven't seen any girls,,,,,,,,1,,,Spain,Woman,Volleyball,25-34,Golf,155452329
more eitist less inclusive,,,,,,,,,,1,Spain,Man,Athletics,55-65,Golf,155452358
Because I've never seen women practicing this sport,,,,,,,,1,,,Poland,Woman,Athletics,25-34,Rugby,155452427
Salaries are not agreed upon,,,,,,1,,,,,Spain,Man,Athletics,35-44,Football,155452442
There are fewer women who practice it,,,,,1,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155452462
I have rarely seen women playing golf,,,,,1,,,1,1,,France,Man,Gymnastics,25-34,Golf,155452468
Because it is bad to see black people play.,,,,,,,,1,,,Spain,Woman,Golf,35-44,Tennis,155452470
We see fewer women or non-binary people playing rugby.,,,,,,,,1,1,,France,Man,Handball,35-44,Rugby,155452482
Both sexes play,,,,,,,,,,,France,Woman,Volleyball,35-44,Golf,155452483
Very little highlighted,,,,,,,,,,1,France,Man,Football,35-44,Gymnastics,155452626
Children are exploited...,,,,,,,,,,1,Sweden,Man,Golf,55-65,Gymnastics,155452835
This is mixed,,,,,,,,,,,France,Man,Rugby,35-44,Volleyball,155453048
There is no risk of injury,,,,,,,,,,1,France,Man,Football,18-24,Volleyball,155453219
And yes absolutely,,,,,,,,,,1,France,Man,Football,25-34,Athletics,155453239
women compete with men,,,,,,,,,,1,France,Man,Rugby,45-54,Tennis,155453284
Mixed teams,,,,,,,,,,1,France,Man,Football,25-34,Gymnastics,155453286
It is filled with violent men afraid of equality,,,,,,,,,,1,Sweden,Man,Gymnastics,45-54,Football,155453365
male dominant,,1,,,,,,,,,Sweden,Man,Handball,45-54,Rugby,155453450
Alone,,,,,,,,,,1,France,Man,Football,35-44,Golf,155454318
Not many girls,,1,,,1,,,,,,France,Man,Volleyball,35-44,Rugby,155454394
Lack of openness,,,,,,,,,,1,France,Man,Football,45-54,Rugby,155454401
Always,,,,,,,,,,1,France,Man,Football,35-44,Gymnastics,155454651
"most often when you watch this sport, it's guys playing. As if it was reserved just for them.",,,,,,,,,,,Poland,Woman,Handball,35-44,Football,155455557
Pomiewaz is more for boys and is dangerous,,,,,,,,,,,Poland,Woman,Gymnastics,18-24,Football,155455639
Women do not count in football and decision-making in this discipline,,1,,,,,,,1,,Poland,Woman,Athletics,25-34,Football,155455642
"Typically a men's sport, not for women",1,1,,,,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155455769
not completely,,,,,,,,,,1,Poland,Woman,Volleyball,25-34,Football,155455839
I don't know this sport,,,,1,,,,,,,Poland,Woman,Volleyball,55-65,Golf,155455886
"Old school tie, racist network",,,,,,,,,,1,UK,Man,Gymnastics,55-65,Golf,155455920
There still are not enough represented in rugby,,,,,,,,,1,,UK,Woman,Athletics,55-65,Rugby,155455989
Could because of the physicality,,,,,,,,,,,UK,Man,Football,45-54,Rugby,155456046
I haven't heard or seen inclusion in this sport.,,,,,,,,1,,,UK,Woman,Gymnastics,45-54,Rugby,155456049
Not many recognitions of women rugby players,,1,,,,,,,1,,UK,Woman,Athletics,25-34,Rugby,155456173
You find a particular gender playing volley ball,,,,,,,,,,1,UK,Woman,Football,45-54,Volleyball,155456174
Unattractive,,,,,,,,,,,France,Man,Football,25-34,Cycling,155456347
Because it’s harder,,,,,,,,,,,UK,Woman,Handball,18-24,Basketball,155456478
It's not really for girls,,,,,,,,,,,UK,Woman,Gymnastics,35-44,Rugby,155456504
Too loutish,,,,,,,,,,,UK,Man,Gymnastics,18-24,Football,155456565
Least known sport,,,,1,,,,,,,UK,Man,Rugby,55-65,Handball,155456588
Its unisex,,,,,,,,,,,UK,Woman,Gymnastics,35-44,Volleyball,155456593
The winnings are so different,,,,,,1,,,,,UK,Woman,Cycling,55-65,Tennis,155456614
Everyone plays on their own,,,,,,,,,,1,France,Woman,Athletics,45-54,Handball,155456637
"Full contact sport compared to the others, challenging",1,,,,,,,,,,UK,Man,Tennis,25-34,Rugby,155456662
Not a lot of women play and are often judged if they do,,,,,1,,,,,,UK,Woman,Athletics,25-34,Football,155456665
You don’t hear of women’s rugby very often.,,,,,,,,1,1,,UK,Woman,Athletics,25-34,Rugby,155456684
not many women are shown on tv when playing golf,,1,,,,,,1,1,,UK,Woman,Football,18-24,Golf,155456732
"we don't hear about it at all, I don't even know if it exists",,,,1,,,,1,,,France,Woman,Rugby,55-65,Golf,155456859
For parity,,,,,,,,,,1,France,Woman,Gymnastics,55-65,Athletics,155457023
More physical,,,,,,,,,,,France,Woman,Golf,25-34,Athletics,155457236
We don't see women's cycling races,,,,,,,,1,,,France,Woman,Gymnastics,35-44,Cycling,155457297
flop,,,,,,,,,,1,France,Woman,Basketball,35-44,Athletics,155457311
women are more accepted in this sport,,,,,,,,,,1,France,Man,Rugby,18-24,Gymnastics,155457477
"Much focus on men, little media coverage on women’s football",,,,,,,,1,1,,France,Woman,Handball,35-44,Football,155457499
Few women rugby,,1,,,1,,,,1,,France,Woman,Gymnastics,45-54,Rugby,155457501
Too sexist too extreme too much money that dirties you,,,,,,1,1,,,,France,Woman,Gymnastics,45-54,Football,155457592
It’s a particularly matchist universe,,,,,,,,,,,France,Woman,Gymnastics,55-65,Rugby,155458173
"No, what gymnastics competitions are broadcast in general for me many more women than men",,,,,,,,1,,,France,Woman,Football,55-65,Gymnastics,155458422
Difficult,,,,,,,,,,1,France,Woman,Athletics,45-54,Football,155458666
Personal printing,,,,,,,,,,1,France,Woman,Athletics,55-65,Cycling,155458724
Football in general is a homophobic environment,,1,,,,,,,1,,France,I identify in another way,Volleyball,25-34,Football,155458740
"The salary of men and women is very different, Women are less well considered",,,,,,1,,,,,France,Woman,Athletics,35-44,Football,155458769
IT’S ALREADY SO COMPLICATED,,,,,,,,,,1,France,Woman,Athletics,45-54,Football,155458789
We see more women doing it,,,,,,,,1,,,France,Woman,Rugby,25-34,Gymnastics,155458899
Compared to what I see,,,,,,,,1,,,France,Woman,Athletics,25-34,Rugby,155459162
"It is associated exclusively with masculine qualities, strength and virility.",1,,,,,,,,,,France,Man,Gymnastics,25-34,Rugby,155459198
We rarely see women in golf competitions,,,,,1,,,1,1,,France,Woman,Gymnastics,55-65,Golf,155459275
We talk less about it,,,,,,,,,,1,France,Woman,Tennis,55-65,Handball,155459319
Masculine forward,1,,,,,,,,,,France,Woman,Tennis,25-34,Football,155459371
People are more broad-minded,,,,,,,,,,1,France,Woman,Football,55-65,Golf,155459553
We rarely see women at golf,,,,,1,,,1,1,,France,Woman,Tennis,45-54,Golf,155459645
I have never seen women cycling,,,,,,,,1,,,France,Woman,Athletics,25-34,Cycling,155459697
too masculine,1,,,,,,,,,,France,Woman,Golf,45-54,Rugby,155459738
It's the sport of classy people,,,,,,,,,,,France,Woman,Rugby,25-34,Golf,155459808
Male-dominated sport for decades,,1,,,,,,,,,Sweden,Man,Football,45-54,Golf,155462304
Can't find any female professionals in Sweden?,,,,,,,,,,1,Sweden,Man,Football,45-54,Rugby,155462474
Probably never seen a female rugby player,,,,,,,,1,1,,Sweden,Woman,Athletics,35-44,Rugby,155471149
Too manly,1,,,,,,,,,,Sweden,Woman,Athletics,25-34,Football,155471207
Is there even women's rugby?,,,,,,,,1,1,,Sweden,Woman,Athletics,35-44,Rugby,155471215
Football is a team sport where it is probably considered that different genders should not mix. People who do not identify as either male or female have difficulty getting a place in a team because of this.,,,,,,,,,1,,Sweden,Woman,Golf,25-34,Football,155471236
inappropriate,,,,,,,,,,1,Sweden,Woman,Golf,18-24,Athletics,155471408
I just think so,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Golf,155471430
Not many women play rugby,,1,,,1,,,,1,,Sweden,Woman,Gymnastics,35-44,Rugby,155471457
Because it is so masculine,1,,,,,,,,,,Sweden,Woman,Golf,35-44,Rugby,155471515
Because it's mostly guys who play,,,,,,,,,,,Sweden,Woman,Football,45-54,Rugby,155471546
They are solo so they have no one to spice it up,,,,,,,,,,1,Sweden,Woman,Football,25-34,Golf,155471547
"Because yes, I think it's good",,,1,,,,,,,,Sweden,Woman,Football,25-34,Athletics,155471699
Lost in the media,,,,,,,,1,,,Germany,Woman,Football,35-44,Tennis,155485336
You hear nothing about women,,,,,,,,1,,,Germany,Woman,Volleyball,25-34,Rugby,155485432
Is for all,,,,,,,,,,1,Germany,Woman,Handball,55-65,Football,155485499
The football,,,,,,,,,1,,Germany,Man,Athletics,35-44,Football,155485540
only men,,1,,,,,,,,,Germany,Woman,Athletics,18-24,Golf,155485547
Women have advantages,,,,,,,,,,1,Germany,Man,Handball,25-34,Athletics,155485593
"Golf is mostly played by men, it is a typical men's sport",1,1,,,,,,,1,,Germany,Woman,Athletics,25-34,Golf,155485597
No,,,,,,,,,,1,Germany,Woman,Cycling,25-34,Volleyball,155485655
Looks ridiculous on men,,,,,,,,,,,Germany,Woman,Volleyball,45-54,Gymnastics,155485662
I haven't seen any women cycling yet.,,,,,,,,1,,,Germany,Man,Football,45-54,Cycling,155485668
Very few women's teams - correspondingly very different conditions etc.,,,,,,,,,,1,Germany,Woman,Tennis,25-34,Rugby,155485798
You only hear about men who do this sport,,,,,,,,1,,,Germany,Woman,Golf,25-34,Rugby,155485831
Because you only perceive male presence,,,,,,,,,,,Germany,Man,Cycling,18-24,Basketball,155485941
Because I rarely see women,,,,,1,,,1,,,Germany,Woman,Athletics,18-24,Basketball,155485972
There are only women's or men's teams,,1,,,,,,,,,Germany,Woman,Athletics,25-34,Football,155485982
Because it is a typical men’s sport,,,,,,,,,,,Germany,Woman,Cycling,25-34,Rugby,155486055
because the sport is predominantly played by women,,1,,,,,,,,,Germany,Woman,Football,55-65,Gymnastics,155486065
rugby for women somehow doesn't fit,,,,,,,,,1,,Germany,Woman,Football,55-65,Rugby,155486392
Don't know any women's team,,,,1,,,,1,,,Germany,Woman,Gymnastics,45-54,Basketball,155486421
Because there are only teams with one gender,,,,,,,,,,1,Germany,Woman,Gymnastics,45-54,Football,155486563
I've never heard of women playing rugby. But I'm not a rugby fan and don't really know much about it.,,,,1,,,,1,1,,Germany,Man,Gymnastics,45-54,Rugby,155486632
Too hard for women,,,,,1,,,,,,Germany,Man,Gymnastics,35-44,Rugby,155486964
Not much movement,,,,,,,,,,1,Germany,Man,Football,18-24,Handball,155488263
is too body-hugging,,,,,,,,,,1,Germany,Man,Gymnastics,55-65,Rugby,155488313
No,,,,,,,,,,1,Germany,Man,Gymnastics,18-24,Tennis,155488620
Because more men are watched in the sport,,,,,,,,,,,Germany,Man,Tennis,18-24,Rugby,155488667
Football is perceived more by men,,1,,,,,,,1,,Poland,Man,Volleyball,55-65,Football,155495381
Lack of women's activity in this sport,,,,,1,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155495411
I didn't see any women playing rugby,,,,,,,,1,1,,Poland,Woman,Athletics,25-34,Rugby,155495416
limitations,,,,,,,,,,1,Poland,Woman,Gymnastics,25-34,Basketball,155495429
There is a predominance of men,,1,,,,,,,,,Poland,Woman,Gymnastics,45-54,Rugby,155495434
Even the best female soccer players in the world have no chance against any male soccer players.,,,,,,,,,,1,Poland,Man,Gymnastics,25-34,Football,155495447
Because it is less effective,,,,,,,,,,1,Poland,Woman,Football,25-34,Handball,155495509
It is a typically male sport,,,,,,,,,,,Poland,Man,Athletics,45-54,Rugby,155495523
It is difficult for all genders to be treated fairly,,,,,,,,,,1,Poland,Woman,Golf,25-34,Gymnastics,155495529
Because women dominate this sport,,,,,,,,,,,Poland,Man,Football,25-34,Gymnastics,155495605
The Polish national team consists only of men,,,,,,,,,,,Poland,Woman,Athletics,25-34,Football,155495624
Women are discriminated against in this sport because stereotypically people think that women are weaker than men and strength sports are not for them *but they are*.,,,,,,,1,,,,Poland,Woman,Tennis,45-54,Rugby,155495917
is more popular among men,,,,,,,,,,,Poland,Woman,Tennis,45-54,Golf,155496243
there are few men in this sport,,,,,,,,,,,Poland,Man,Tennis,55-65,Gymnastics,155496389
Gender demarcation,,,,,,,,,,1,Poland,Woman,Rugby,45-54,Volleyball,155496682
Rugby is played primarily by men and is a sport mainly for men,,,,,,,,,1,,Poland,Man,Athletics,45-54,Rugby,155496743
It is very diverse,,,,,,,,,,,Poland,Man,Handball,45-54,Basketball,155496777
Female soccer players do not have the same rates as men practicing this sport,,,,,,,,,,,Poland,Woman,Tennis,45-54,Football,155497325
Male,,,,,,,,,,,Poland,Woman,Athletics,55-65,Cycling,155497642
It's brutal,1,,,,,,,,,,Poland,Woman,Gymnastics,45-54,Rugby,155499164
They don't like this sport,,,,,,,,,,,Poland,Woman,Volleyball,35-44,Football,155499311
I don't see any mocking teams,,,,,,,,1,,,Poland,Woman,Tennis,55-65,Rugby,155500001
Women play football too,,,,,,,,,1,1,Poland,Woman,Basketball,55-65,Football,155500073
Because it's a hard game,,,,,,,,,,,Poland,Woman,Gymnastics,25-34,Rugby,155500077
Typically considered a men's sport,1,1,,,,,,,,,Poland,Woman,Gymnastics,45-54,Rugby,155500079
It can be done and gender does not interfere with it,,,,,,,,,,1,Poland,Woman,Cycling,25-34,Golf,155500094
It is not a women's sport,1,,,,,,,,,,Poland,Woman,Athletics,55-65,Rugby,155500113
Colophontally,,,,,,,,,,1,Poland,Woman,Volleyball,45-54,Handball,155500794
"Women in this sport are rarely talked about, let alone the huge pay gap.",,,,,,1,,,,1,Poland,Woman,Tennis,55-65,Football,155502586
It's a men's sport,1,1,,,,,,,,,Poland,Woman,Athletics,45-54,Rugby,155502842
you have different characteristics,,,,,,,,,,1,Spain,Man,Golf,55-65,Rugby,155531383
I don't usually see many women practicing this sport,,1,,,1,,,1,,,Spain,Man,Tennis,55-65,Rugby,155531392
Unique tournament,,,,,,,,,,1,Spain,Man,Golf,45-54,Gymnastics,155531394
Due to its visibility,,,,,,,,1,,,Spain,Man,Football,45-54,Volleyball,155531409
Because professional Golf is not given importance to women.,,,,,,,,,1,,Spain,Woman,Athletics,45-54,Golf,155531436
It's the feeling I have,,,,,,,,,,1,Spain,Man,Athletics,55-65,Rugby,155531446
Because few women are seen,,,,,1,,,1,,,Spain,Woman,Tennis,35-44,Rugby,155531449
Because no one sees it,,,,,,,,1,,,Spain,Man,Athletics,35-44,Rugby,155531452
BECAUSE IT IS A SPORT IN WHICH THE BIOLOGY AND GENETICS BETWEEN MEN AND WOMEN CAN BE SEEN MORE.,1,,,,,,,,,,Spain,Man,Volleyball,55-65,Rugby,155531459
That's how it is,,,,,,,,,,1,Spain,Man,Handball,55-65,Tennis,155531460
It is still too masculine a sport and although progress is being made there is still a lot of machismo,1,,,,,,,,,,Spain,Man,Gymnastics,45-54,Football,155531467
It is where women's teams are ignored the most.,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Football,155531474
There are many female gymnasts,,,,,,,,,,,Spain,Woman,Cycling,45-54,Gymnastics,155531486
Because it is a strong contact sport,1,,,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155531494
"Because girls do not generate the same money as men, said by the soccer president",,,,,,1,,,,,Spain,Woman,Volleyball,45-54,Football,155531506
"Well, because I don't know if this women's sport even exists.",1,,,1,,,,,,,Spain,Woman,Football,45-54,Rugby,155531517
There have always been more men,,,,,,,,,,,Spain,Woman,Gymnastics,45-54,Golf,155531520
It seems to me to be a more elitist sport in which women are not valued or taken into account in club structures.,,,,,,,,1,,,Spain,Man,Volleyball,55-65,Golf,155531525
It is a sport that has always been more masculine Eda is my opinion,1,,,,,,,,,,Spain,Woman,Gymnastics,55-65,Football,155531529
I don't know women's rugby,,,,1,,,,,1,,Spain,Man,Tennis,35-44,Rugby,155531531
It's more for men,,,,,,,,,,,Spain,Man,Athletics,45-54,Golf,155531554
